Composite_Name,W1,W2,W3,W4,W5,W6,W7
mc_m05000000_lew500p3.fits,0.21958977547270547,0.18364636194653156,0.06765320835126303,0.12515682193246372,0.07767545927278813,0.013861783086224834,0.01710178795009936
mc_05001000_lew500p2.fits,0.224214100419373,0.18894079453349266,0.021400628375491757,0.06015591241399699,0.10159865472270471,0.020515862279842142,0.04003277426840837
mc_00000500_hew500.fits,0.20890159241078382,0.17228670301521995,0.17113337754579813,0.17862180725472304,0.1282659984673463,-0.09372300082800333,-0.030927272219833213
mc_05001000_lew500p3.fits,0.22330816078587643,0.18535565256162412,0.03129677466749352,0.0673991632627863,0.11215105124956619,0.010014365541167265,0.036233175998322174
mc_20002500_010025.fits,0.23156935176770424,0.18728507899880167,-0.010677895217861468,0.033278683410144824,0.10136933379694454,0.007784525216512699,0.025674679392414076
mc_m05000000_lew500p2.fits,0.22135168429533666,0.1870666842549826,0.04563494592776866,0.1078820918530525,0.07462676548191201,0.03251171518985928,0.03116820463299082
mc_25003000_all.fits,0.23314272375950443,0.18387185352820057,-0.016126547547713397,0.030876605739612956,0.10427976698853604,0.0005860949628342238,0.019506162784146044
mc_05001000_lew500p4.fits,0.22147389898499015,0.18203385021361862,0.05117725831443763,0.07871566970115221,0.12296503890582212,-0.02440034401012383,0.0302802079281052
mc_10001500_lew500.fits,0.22859733470946136,0.1914355195256367,-0.0011922822088296318,0.040251240520304904,0.08175237198339003,0.036384510804277743,0.05184841860781925
mc_00000500_lew500p1.fits,0.22475434271133765,0.18878114941050786,0.020581951698250413,0.06884956794171768,0.08166339556916509,0.04088478819421542,0.0424717938285119
mc_30006000_all.fits,0.235107498700499,0.18118020660203354,-0.021906655419422695,0.03290927356591628,0.09527815052468841,-0.005804283698401016,0.019755771613604704
mc_m05000000_lew500p4.fits,0.21528383168131135,0.18509248028061578,0.09586656830437183,0.15268859754011258,0.08524375407352104,0.0028570394944620755,0.0069432479948612225
mc_15002000_hew500.fits,0.2274946527528091,0.1822367797297637,0.009427277270414128,0.04408484692467171,0.14260342672116458,-0.03342542253820833,0.003114453538085802
mc_10001500_lew500p1.fits,0.22750594877931885,0.1875191996740966,0.0030908760301132866,0.04646979773196566,0.09829428564509653,0.020202647850450912,0.03775467903998271
mc_15002000_lew500p1.fits,0.22929035104841292,0.18702690663969268,-0.0026002944136469313,0.03884959992034286,0.10187459088930349,0.009978908935260872,0.03219746905317523
mc_m05000000_lew500.fits,0.22655774380230642,0.19207306270097604,0.0060966036916454205,0.0692211376496902,0.0630476649148288,0.07045070526806525,0.04410919167865424
mc_05001000_lew500.fits,0.22811804580124148,0.19014576223240343,0.00334403706046321,0.04421016928799331,0.0752563175923533,0.04799145978463544,0.05096787107435378
mc_10001500_lew500p2.fits,0.22638486585601,0.18692290526579838,0.010104706395367327,0.048895050797651295,0.1111575890024763,0.008242379513207686,0.03144601745488265
mc_15002000_lew500p2.fits,0.22886426630311577,0.18624068349544035,-0.0007762613099084077,0.03965615121517732,0.11218287049216986,0.0020295231342644117,0.023741167534454127
mc_00000500_lew500p2.fits,0.22272260010961448,0.18533957640694376,0.040745989717145895,0.08329514672928602,0.0902296339809821,0.02043149386498043,0.036044226687334695
mc_20002500_025050.fits,0.23066540675320865,0.18354553109957655,-0.005950222114390871,0.032527464439079945,0.12678076249708634,-0.014485042600213325,0.004364639529803742
mc_m10000500_all.fits,0.2218777872406974,0.18608052018922192,0.03290886783209145,0.12678440824846035,0.06698876966437109,0.05944918867728851,0.024987194812687012
mc_00000500_lew500p3.fits,0.22032971257932585,0.18618299792092585,0.06265515845796904,0.09619407848091138,0.09446068713238294,-0.0024496716013646153,0.02726328461127371
mc_00000500_lew500.fits,0.22704052213755427,0.19495295845748153,0.004206163201650336,0.053335715624401085,0.06751235850489744,0.06357143084319508,0.05053343082259963
mc_15002000_lew500p3.fits,0.22791916464245537,0.1861410845548106,0.0027325810581605666,0.03938333589282558,0.12383231492198814,-0.006910139089441354,0.019786470939089883
mc_10001500_lew500p3.fits,0.22467141368579122,0.1863651722077211,0.020490028619025442,0.05339001861470619,0.1263199331408034,-0.01131117419972536,0.02756576784279532
mc_00000500_lew500p4.fits,0.21693718641644763,0.18207632922403963,0.09773395484547631,0.1178946138380691,0.10367373161898895,-0.04004067432809208,0.015487077959191
mc_10001500_hew500.fits,0.22297642523529257,0.18007665622169228,0.03678138812770471,0.07206118299038045,0.15059022382022913,-0.05906212692770947,0.013528462401803266
mc_m05000000_lew500p1.fits,0.2237512373344552,0.19018493505331027,0.022722161046405998,0.09059115315532718,0.07110316497761321,0.051597777154036954,0.038952051124632334
mc_m05000000_hew500.fits,0.2086252881238708,0.17469784942194272,0.15255178747514206,0.2039949208420602,0.09958812498983716,-0.011639514397452,-0.024916255395301592
mc_15002000_lew500.fits,0.23029922927568763,0.18748865073371457,-0.005140808861382157,0.03569985956151212,0.08989245404846348,0.022071954409513872,0.04199123691446787
mc_05001000_hew500.fits,0.21836390489919974,0.17453894924028843,0.08349418014727822,0.11724931265860586,0.14824629760623026,-0.0986410761839833,0.0005588560769502628
mc_05001000_lew500p1.fits,0.226135990014953,0.18801278264926946,0.010209504405750467,0.05399029107136258,0.09105069136904763,0.03295103403765301,0.042849684227641946
